,highly_variable,in_integrated
Glyma.05G196100.Wm82.a4.v1,False,True
Glyma.15G255300.Wm82.a4.v1,False,False
Glyma.01G209400.Wm82.a4.v1,False,False
Glyma.17G030900.Wm82.a4.v1,False,False
Glyma.11G005100.Wm82.a4.v1,False,False
Glyma.19G129000.Wm82.a4.v1,False,False
Glyma.11G041902.Wm82.a4.v1,False,True
Glyma.01G010800.Wm82.a4.v1,False,False
Glyma.11G137700.Wm82.a4.v1,False,False
Glyma.17G204900.Wm82.a4.v1,False,False
Glyma.20G229700.Wm82.a4.v1,False,False
Glyma.11G102800.Wm82.a4.v1,False,False
Glyma.08G003500.Wm82.a4.v1,False,False
Glyma.03G074000.Wm82.a4.v1,False,True
Glyma.18G286500.Wm82.a4.v1,False,False
Glyma.06G151900.Wm82.a4.v1,False,False
Glyma.06G128700.Wm82.a4.v1,False,True
Glyma.12G158000.Wm82.a4.v1,False,False
Glyma.17G167200.Wm82.a4.v1,False,False
Glyma.01G211200.Wm82.a4.v1,False,False
Glyma.03G020500.Wm82.a4.v1,False,False
Glyma.03G251500.Wm82.a4.v1,False,False
Glyma.17G177600.Wm82.a4.v1,False,False
Glyma.04G177100.Wm82.a4.v1,False,False
Glyma.01G063100.Wm82.a4.v1,False,True
Glyma.08G113600.Wm82.a4.v1,False,False
Glyma.12G198500.Wm82.a4.v1,False,False
Glyma.13G074500.Wm82.a4.v1,False,False
Glyma.13G308500.Wm82.a4.v1,False,False
Glyma.05G230600.Wm82.a4.v1,False,False
Glyma.14G002000.Wm82.a4.v1,False,False
Glyma.10G044200.Wm82.a4.v1,False,False
Glyma.20G233700.Wm82.a4.v1,False,False
Glyma.11G212800.Wm82.a4.v1,False,False
Glyma.10G069500.Wm82.a4.v1,False,False
Glyma.20G125800.Wm82.a4.v1,False,False
Glyma.04G222800.Wm82.a4.v1,False,False
Glyma.11G068200.Wm82.a4.v1,False,False
Glyma.17G031000.Wm82.a4.v1,False,False
Glyma.20G200800.Wm82.a4.v1,False,False
Glyma.20G106500.Wm82.a4.v1,False,False
Glyma.05G099800.Wm82.a4.v1,False,False
Glyma.02G211600.Wm82.a4.v1,False,False
Glyma.20G115100.Wm82.a4.v1,False,False
Glyma.02G071600.Wm82.a4.v1,False,False
Glyma.17G012100.Wm82.a4.v1,False,False
Glyma.12G068300.Wm82.a4.v1,False,False
Glyma.10G120400.Wm82.a4.v1,False,False
Glyma.07G028000.Wm82.a4.v1,False,False
Glyma.15G035800.Wm82.a4.v1,False,False
Glyma.05G239000.Wm82.a4.v1,False,False
Glyma.06G237100.Wm82.a4.v1,False,False
Glyma.11G145854.Wm82.a4.v1,False,False
Glyma.15G267000.Wm82.a4.v1,True,True
Glyma.06G060700.Wm82.a4.v1,False,False
Glyma.09G035400.Wm82.a4.v1,False,False
Glyma.01G046500.Wm82.a4.v1,False,False
Glyma.03G010900.Wm82.a4.v1,False,False
Glyma.12G177000.Wm82.a4.v1,False,False
Glyma.03G044000.Wm82.a4.v1,False,False
Glyma.08G158200.Wm82.a4.v1,False,False
Glyma.20G009700.Wm82.a4.v1,False,False
Glyma.14G024800.Wm82.a4.v1,False,False
Glyma.11G138100.Wm82.a4.v1,False,False
Glyma.10G062500.Wm82.a4.v1,False,False
Glyma.05G136300.Wm82.a4.v1,False,False
Glyma.13G178200.Wm82.a4.v1,False,False
Glyma.20G069000.Wm82.a4.v1,False,False
Glyma.03G023401.Wm82.a4.v1,False,False
Glyma.12G159600.Wm82.a4.v1,False,False
