clustering,libraries,cluster,n_cells,median_cv,mean_cv,genes_used,silhouette_within_library,silhouette_global
celltype_call,leaf_control_rep1,Hydathode cells,74,2.792672922414394,3.1262498860726984,1930,0.15384654089826794,0.13065720746888446
celltype_call,leaf_control_rep1,Mesophyll,1900,3.039046219030926,3.561195623093399,1969,0.049288273305700084,0.12276501968826807
celltype_call,leaf_control_rep1,Unknown,42,3.1695538176170253,3.4390155874555948,1847,0.44484155318804913,0.2077197212054827
celltype_call,leaf_control_rep1,Vascular/Phloem parenchyma,128,2.9918429337771775,3.341509940754008,1944,0.20464672219570396,0.12378365667300598
celltype_call,leaf_control_rep1A,Bundle sheath,676,3.201515774809529,3.654268479492001,1966,0.11534826001742851,0.1227928073784909
celltype_call,leaf_control_rep1A,Companion cells,241,3.662136066805171,4.585353162673497,1915,0.30667025209988696,0.2614634745762865
celltype_call,leaf_control_rep1A,Epidermal,309,3.3279900789350885,3.86609954403047,1952,0.15441802848756056,0.1881181898630026
celltype_call,leaf_control_rep1A,Epidermal/Pavement,135,3.369774270845325,3.810158783496169,1927,0.0729323399758386,0.0632594703526098
celltype_call,leaf_control_rep1A,Guard cells,41,3.0033812417240955,3.3177995322599725,1853,0.2948269040394502,0.2577430495945456
celltype_call,leaf_control_rep1A,Hydathode cells,47,3.477158707548308,3.770335175395431,1772,0.16118377383581725,0.1084786202139762
celltype_call,leaf_control_rep1A,Mesophyll,1865,3.1966216970922767,3.940188888303297,1968,0.22963659010379806,0.18026502807945366
celltype_call,leaf_control_rep1A,Unknown,49,3.6094313196443704,4.024962327467789,1574,0.2582320048648594,0.198224776292323
celltype_call,leaf_control_rep1A,Vascular/Phloem parenchyma,89,3.3125777582711313,3.685369417987486,1938,0.17092115429909946,0.1571687442785196
celltype_call,leaf_control_rep2,Bundle sheath,123,3.058983919300884,3.409225116225245,1951,0.03905503262165818,0.04020586340025276
celltype_call,leaf_control_rep2,Companion cells,132,3.162496921110482,3.5391942015665334,1959,0.10121795412901873,0.0048514498139518225
celltype_call,leaf_control_rep2,Epidermal,51,3.1002965034882015,3.3967869229804837,1897,0.26980438282237795,0.018886296019722332
celltype_call,leaf_control_rep2,Guard cells,35,2.7513257346069806,3.037617312240916,1869,0.13269833581468152,0.07704546139303094
celltype_call,leaf_control_rep2,Hydathode cells,32,3.1777058573204626,3.36585945308248,1776,0.09626307573024348,0.00936940544735929
celltype_call,leaf_control_rep2,Mesophyll,393,3.1940376402001425,3.5725630758092453,1968,-0.02764260211112644,0.1254766052733664
celltype_call,leaf_control_rep2,Unknown,23,3.317036352426557,3.2723084696488547,1545,0.3381485323675942,0.14588893445424525
celltype_call,leaf_control_rep2,Vascular/Phloem parenchyma,34,2.903977201693591,3.1506361118437125,1854,-0.06453716769310512,-0.1150480158933933
celltype_call,leaf_control_rep3,Bundle sheath,32,3.2146851793735634,3.379310904839378,1714,0.23305270574396572,0.12481245124199924
celltype_call,leaf_control_rep3,Companion cells,100,3.364123277077805,3.9540304511456412,1849,0.2844454211854856,0.23322410159450713
celltype_call,leaf_control_rep3,Epidermal,1,,,0,0.0,0.13155619987168854
celltype_call,leaf_control_rep3,Epidermal/Pavement,277,3.701285109038521,4.391812716945823,1931,-0.040377837273609274,0.16365328116960423
celltype_call,leaf_control_rep3,Guard cells,30,3.350179710585736,3.5643918425987056,1644,0.36783814592493463,0.33071385915631984
celltype_call,leaf_control_rep3,Hydathode cells,9,2.2767721736076774,2.3652077892482692,1128,0.08616542060611163,0.10288589836944603
celltype_call,leaf_control_rep3,Mesophyll,1177,3.3257829950312603,4.067613685823076,1951,0.44031274415219357,0.13044547419789912
celltype_call,leaf_control_rep3,Unknown,21,2.694161354797453,2.91947812980449,1566,0.11539985697632832,-0.10155901821504454
