run_id,metric,collaborator,realigned,abs_diff,pct_diff
Drought_2,reads mapped confidently to genome,0.313,0.311,0.0020000000000000018,0.6389776357827481
Drought_2,reads mapped confidently to intergenic regions,0.032,0.033,0.0010000000000000009,3.1250000000000027
Drought_2,reads mapped confidently to intronic regions,0.015,0.015,0.0,0.0
Drought_2,reads mapped confidently to exonic regions,0.266,0.262,0.0040000000000000036,1.5037593984962419
Drought_2,reads mapped confidently to transcriptome,0.272,0.268,0.0040000000000000036,1.4705882352941189
Drought_2,reads mapped antisense to gene,0.009000000000000001,0.009000000000000001,0.0,0.0
Drought_2,fraction reads in cells,0.693,0.733,0.040000000000000036,5.772005772005778
Drought_2,total genes detected,47182.0,45829.0,1353.0,2.867619007248527
Drought_2,median umi counts per cell,798.0,470.0,328.0,41.10275689223057
Drought_3,estimated number of cells,1813.0,1813.0,0.0,0.0
Drought_3,mean reads per cell,198468.0,198468.0,0.0,0.0
Drought_3,median genes per cell,523.0,523.0,0.0,0.0
Drought_3,number of reads,359821662.0,359821662.0,0.0,0.0
Drought_3,valid barcodes,0.902,0.902,0.0,0.0
Drought_3,valid umi sequences,0.9990000000000001,0.97,0.029000000000000137,2.902902902902916
Drought_3,sequencing saturation,0.9790000000000001,0.9790000000000001,0.0,0.0
Drought_3,q30 bases in barcode,0.971,0.971,0.0,0.0
Drought_3,q30 bases in rna read,0.963,0.963,0.0,0.0
Drought_3,q30 bases in umi,0.978,0.978,0.0,0.0
Drought_3,reads mapped to genome,0.8590000000000001,0.8590000000000001,0.0,0.0
Drought_3,reads mapped confidently to genome,0.779,0.779,0.0,0.0
Drought_3,reads mapped confidently to intergenic regions,0.16399999999999998,0.16399999999999998,0.0,0.0
Drought_3,reads mapped confidently to intronic regions,0.08199999999999999,0.08199999999999999,0.0,0.0
Drought_3,reads mapped confidently to exonic regions,0.5329999999999999,0.5329999999999999,0.0,0.0
Drought_3,reads mapped confidently to transcriptome,0.569,0.569,0.0,0.0
Drought_3,reads mapped antisense to gene,0.045,0.045,0.0,0.0
Drought_3,fraction reads in cells,0.604,0.604,0.0,0.0
Drought_3,total genes detected,34223.0,34223.0,0.0,0.0
Drought_3,median umi counts per cell,593.0,593.0,0.0,0.0
HD_2,estimated number of cells,5204.0,4195.0,1009.0,19.388931591083782
HD_2,mean reads per cell,67397.0,42208.0,25189.0,37.374067094974556
HD_2,median genes per cell,681.0,619.0,62.0,9.104258443465492
HD_2,number of reads,350731515.0,177062679.0,173668836.0,49.51617649756966
HD_2,valid barcodes,0.7929999999999999,0.7809999999999999,0.01200000000000001,1.513240857503154
HD_2,valid umi sequences,0.9990000000000001,0.961,0.038000000000000145,3.803803803803818
HD_2,sequencing saturation,0.763,0.6659999999999999,0.09700000000000009,12.71297509829621
HD_2,q30 bases in barcode,0.953,0.9520000000000001,0.0009999999999998899,0.10493179433367156
HD_2,q30 bases in rna read,0.963,0.96,0.0030000000000000027,0.31152647975077913
HD_2,q30 bases in umi,0.97,0.9690000000000001,0.0009999999999998899,0.10309278350514328
HD_2,reads mapped to genome,0.732,0.7390000000000001,0.007000000000000117,0.9562841530054805
HD_2,reads mapped confidently to genome,0.37799999999999995,0.38,0.0020000000000000573,0.5291005291005443
HD_2,reads mapped confidently to intergenic regions,0.051,0.054000000000000006,0.0030000000000000096,5.88235294117649
HD_2,reads mapped confidently to intronic regions,0.023,0.024,0.0010000000000000009,4.347826086956526
HD_2,reads mapped confidently to exonic regions,0.303,0.302,0.0010000000000000009,0.3300330033003303
HD_2,reads mapped confidently to transcriptome,0.31,0.309,0.0010000000000000009,0.3225806451612906
HD_2,reads mapped antisense to gene,0.017,0.017,0.0,0.0
HD_2,fraction reads in cells,0.512,0.485,0.027000000000000024,5.273437500000004
HD_2,total genes detected,39691.0,37784.0,1907.0,4.804615655942153
HD_2,median umi counts per cell,1047.0,919.0,128.0,12.225405921680993
HD_3,estimated number of cells,1306.0,1306.0,0.0,0.0
HD_3,mean reads per cell,320229.0,320229.0,0.0,0.0
HD_3,median genes per cell,547.0,547.0,0.0,0.0
HD_3,number of reads,418219448.0,418219448.0,0.0,0.0
HD_3,valid barcodes,0.904,0.904,0.0,0.0
