GeneID,Means-CK,Means-D_24,log2Ratio (D_24/CK),Up-Down-Regulation (D_24/CK),Probability
GLYMA11G18470,0.306666667,6.243333333,4.347573228,Up,0.818985507
GLYMA11G37780,28.46,193.0266667,2.761792603,Up,0.876401555
GLYMA01G02840,7.793333333,49.83333333,2.676798649,Up,0.859996465
GLYMA07G04860,2.383333333,64.06,4.748371152,Up,0.948282078
GLYMA03G38490,3.523333333,21.97,2.640521994,Up,0.834969954
GLYMA13G31410,1.946666667,17.45,3.164149263,Up,0.849183457
GLYMA04G10100,1.45,15.78333333,3.44427712,Up,0.857787204
GLYMA13G41460,16.72666667,74.37,2.152570802,Up,0.829763167
GLYMA09G31740,3.39,331.5933333,6.611985918,Up,0.988999647
GLYMA09G12050,0.45,8.203333333,4.188213345,Up,0.841244256
GLYMA16G31908,0.636666667,7.286666667,3.516648858,Up,0.802651113
GLYMA16G32726,2.76,18.71,2.761069386,Up,0.832166843
GLYMA20G35095,14.66333333,57.54333333,1.972435694,Up,0.808766349
GLYMA17G32782,2.6,31.15333333,3.582803008,Up,0.894043832
GLYMA20G22291,0.766666667,10,3.705256734,Up,0.840622128
GLYMA02G46580,2.63,21.55666667,3.034999405,Up,0.85552492
GLYMA15G21890,133.5433333,561.8133333,2.072782907,Up,0.834301873
GLYMA03G40280,10.29,57.77333333,2.489160754,Up,0.849448568
GLYMA16G31540,0.15,8.983333333,5.904216461,Up,0.890802404
GLYMA20G36520,6.266666667,53.38666667,3.090709312,Up,0.88252386
GLYMA05G28310,6.246666667,29.21666667,2.225633138,Up,0.815252739
GLYMA07G32070,3.823333333,29.31666667,2.938818186,Up,0.859918699
GLYMA15G40110,20.65333333,89.20333333,2.110722978,Up,0.829179922
GLYMA02G46230,139.48,593.9766667,2.090347989,Up,0.835768823
GLYMA12G32200,15.09,86.63,2.521273911,Up,0.856387416
GLYMA13G37320,7.876666667,96.16666667,3.609879784,Up,0.914552846
GLYMA20G01690,1.213333333,14.5,3.579005045,Up,0.86212796
GLYMA08G07350,0.313333333,17.98,5.842550955,Up,0.935691057
GLYMA10G08420,9.36,47.71333333,2.349812044,Up,0.839268293
GLYMA18G02210,64.89,816.4066667,3.653219892,Up,0.921862849
GLYMA04G06520,3.793333333,21.53,2.504810263,Up,0.822852598
GLYMA12G13430,24.18333333,94.98666667,1.973711902,Up,0.815433015
GLYMA07G33101,3.86,21.38666667,2.470038888,Up,0.821141746
GLYMA10G06990,1.566666667,13.22333333,3.077315736,Up,0.831286674
GLYMA02G45690,1.136666667,20.80666667,4.194164713,Up,0.901770944
GLYMA07G36340,20.00333333,74.66333333,1.90015949,Up,0.806200071
GLYMA11G01881,11.05333333,54.33666667,2.297444559,Up,0.834033227
GLYMA15G30131,0.01,4.7,8.876516947,Up,0.837462001
GLYMA03G02940,8.496666667,37.95,2.159131013,Up,0.818020502
GLYMA15G11910,56.29333333,212.1633333,1.914139364,Up,0.815111347
GLYMA13G11830,0.01,8.243333333,9.687084024,Up,0.900738777
GLYMA08G00940,4.086666667,25.11,2.61926555,Up,0.839416755
GLYMA05G28260,10.24,122.7566667,3.583513756,Up,0.916263697
GLYMA19G40150,3.873333333,36.30666667,3.228586914,Up,0.88145281
GLYMA06G08070,1.253333333,9.773333333,2.963080536,Up,0.800837752
GLYMA13G39280,2.443333333,22.54,3.205564913,Up,0.86601626
GLYMA03G03670,8.9,43.84,2.300370557,Up,0.829950513
GLYMA18G13840,1.386666667,14.69,3.405141463,Up,0.853237893
GLYMA16G14385,0.01,9.15,9.837627933,Up,0.909918699
GLYMA18G14750,1.346666667,38.91666667,4.852923447,Up,0.940445387
GLYMA03G14980,16.72,66.62,1.994380507,Up,0.812506186
GLYMA06G13100,28.60666667,154.3533333,2.431813333,Up,0.856956522
GLYMA16G17820,0.01,4.896666667,8.93565618,Up,0.843131849
GLYMA02G10320,8.516666667,68.00333333,2.997244675,Up,0.884139272
GLYMA13G22650,17.00666667,66.38,1.964648231,Up,0.81009544
GLYMA15G34593,9.99,42.19666667,2.078572454,Up,0.815139625
GLYMA10G40580,1.196666667,12.79,3.417923016,Up,0.844517497
GLYMA09G39200,5.03,28.65666667,2.5102405,Up,0.834012018
GLYMA14G04291,2.77,20.30666667,2.87399556,Up,0.844312478
GLYMA17G04920,2.733333333,28.21666667,3.367814253,Up,0.880986214
GLYMA06G05740,1.963333333,50.33666667,4.680232645,Up,0.941438671
GLYMA07G38710,4.573333333,30.63333333,2.74378438,Up,0.850311064
GLYMA16G02290,0.92,9.04,3.296617006,Up,0.811293743
GLYMA07G05800,1.776666667,54.98666667,4.951836895,Up,0.950335808
GLYMA13G21580,0.516666667,13.58666667,4.716813931,Up,0.896723224
GLYMA03G30231,7.943333333,32.81333333,2.046465706,Up,0.806627784
GLYMA05G32950,7.496666667,38.40666667,2.357035597,Up,0.834938141
GLYMA18G47130,1.776666667,20.82,3.550725131,Up,0.876256628
GLYMA18G48940,0.333333333,8.746666667,4.713695815,Up,0.863527748
GLYMA01G39040,1.18,10.55333333,3.16083999,Up,0.816663132
GLYMA14G39130,3.22,40.34666667,3.647316893,Up,0.901565924
GLYMA09G29840,38.71,254.8733333,2.719002223,Up,0.875952633
GLYMA06G14880,8.65,255.06,4.881992722,Up,0.960466596
GLYMA13G24510,0.336666667,16.82666667,5.643284712,Up,0.929367268
GLYMA13G06860,1.14,40.56666667,5.153189033,Up,0.948533051
GLYMA06G46340,2.243333333,14.67666667,2.709808434,Up,0.817394839
GLYMA06G17760,13.10333333,50.94333333,1.958959498,Up,0.805740544
GLYMA09G01040,1.916666667,12.7,2.728157137,Up,0.808731
GLYMA08G03780,6.066666667,31.30333333,2.367340341,Up,0.829996465
GLYMA09G29991,1.253333333,13.13,3.38902485,Up,0.84583245
GLYMA09G32850,1.88,13.21666667,2.813553798,Up,0.818981972
GLYMA13G38050,1.783333333,28.61,4.003871202,Up,0.907104984
GLYMA17G20570,0.02,3.846666667,7.587465008,Up,0.807051962
GLYMA13G05480,2.22,26.22666667,3.562402875,Up,0.885326971
GLYMA06G07810,0.096666667,6.24,6.012383724,Up,0.857044892
GLYMA06G36590,3.733333333,54.96666667,3.880020761,Up,0.916094026
GLYMA17G17860,0.58,17.23,4.892725991,Up,0.913700954
GLYMA19G26850,63.89,241.9966667,1.921325131,Up,0.816380346
GLYMA06G01380,3.186666667,18.03666667,2.500812718,Up,0.814803818
GLYMA02G47380,9.543333333,49.12666667,2.363941183,Up,0.84038176
GLYMA18G17120,5.686666667,26.28666667,2.208676064,Up,0.810385295
GLYMA20G06290,0.98,19.23333333,4.294683259,Up,0.901251326
GLYMA01G32760,0.2,6.726666667,5.071819863,Up,0.846903499
GLYMA10G38050,0.09,7.49,6.378896907,Up,0.880265111
GLYMA02G14880,7.7,57.61666667,2.903555847,Up,0.874192294
GLYMA13G44020,0.26,22.81666667,6.455432607,Up,0.952555673
GLYMA03G41590,5.163333333,45.73333333,3.146871432,Up,0.880791799
GLYMA09G31940,6.113333333,55.46333333,3.181503186,Up,0.889353128
GLYMA12G01820,8.42,63.41333333,2.912894076,Up,0.876101096
GLYMA07G16020,34.03666667,213.6833333,2.650312726,Up,0.873089431
GLYMA14G14210,68.77666667,231.0066667,1.747943386,Up,0.800802404
GLYMA20G30320,0.06,7.396666667,6.945768951,Up,0.884015553
GLYMA20G30460,0.073333333,5.07,6.111372819,Up,0.833142453
GLYMA17G04130,8.803333333,41.13333333,2.224186188,Up,0.823973135
GLYMA10G40980,3.09,19.74666667,2.675930397,Up,0.832050194
GLYMA04G06970,127.8133333,675.11,2.401084245,Up,0.859257688
GLYMA06G06540,1.15,11.70333333,3.347213729,Up,0.837140332
GLYMA12G06910,86.09666667,287.03,1.737172245,Up,0.800480735
GLYMA09G12320,7.76,42.41333333,2.450389314,Up,0.841565924
GLYMA20G32005,62.04333333,339.11,2.450405225,Up,0.86038883
GLYMA19G11770,0.29,10.97,5.241366815,Up,0.894323082
GLYMA15G03080,73.74666667,249.97,1.761105215,Up,0.801869919
GLYMA17G05760,34.29333333,154.78,2.174219018,Up,0.837663485
GLYMA04G39970,5.243333333,122.8033333,4.549721646,Up,0.948688583
GLYMA01G43350,0.24,5.37,4.483815777,Up,0.805033581
GLYMA19G01050.13,0.01,142.9366667,13.80308843,Up,0.995853659
GLYMA18G46560,1.993333333,16.48333333,3.047753131,Up,0.84369035
GLYMA08G18801,0.773333333,20.06,4.697087396,Up,0.916422764
GLYMA17G13010,6.94,29.82666667,2.103595188,Up,0.807529162
GLYMA17G10290,4.896666667,27.32666667,2.480437594,Up,0.830848356
GLYMA10G01030,0.873333333,8.94,3.35567052,Up,0.815464829
GLYMA14G36500,0.01,4.446666667,8.79658045,Up,0.830325203
GLYMA20G22311,4.346666667,45.80666667,3.397576213,Up,0.8938883
GLYMA17G05520,30.61666667,118.2266667,1.949166354,Up,0.815418876
