GeneID,Means-CK,Means-H_24,log2Ratio (H_24/CK),Up-Down-Regulation (H_24/CK),Probability
GLYMA16G19480,2.52,16.04333333,2.670478284,Up,0.809190309
GLYMA04G39970,5.243333333,33.18333333,2.661902645,Up,0.838964839
GLYMA07G29650,3.24,20.45,2.658035125,Up,0.820953821
GLYMA15G05510,42.77666667,269.7566667,2.656762643,Up,0.863359863
GLYMA15G15200,5.713333333,36.02,2.656393573,Up,0.841271341
GLYMA08G18340,3.083333333,19.41,2.654237348,Up,0.817992818
GLYMA08G14900,18.49666667,115.68,2.64480225,Up,0.858498358
GLYMA05G00880,2.713333333,16.96,2.643997971,Up,0.810905311
GLYMA02G37560,5.81,36.22333333,2.640309243,Up,0.840581841
GLYMA11G15070,10.01666667,62.41,2.639374721,Up,0.851592852
GLYMA16G17680,10.66666667,66.10666667,2.631686366,Up,0.851946352
GLYMA15G22820,7.826666667,48.41,2.628835186,Up,0.846668347
GLYMA07G38530,3.566666667,21.98333333,2.623761863,Up,0.822329322
GLYMA13G05830,5.173333333,31.87,2.623032962,Up,0.836066836
GLYMA07G03920,2.526666667,15.55,2.621607328,Up,0.805123305
GLYMA18G05580,4.056666667,24.91666667,2.618744411,Up,0.827243327
GLYMA09G00280,3.073333333,18.85,2.616688368,Up,0.815266315
GLYMA06G14170,8.93,54.74333333,2.615951203,Up,0.848551349
GLYMA08G08720,2.423333333,14.8,2.610532407,Up,0.801801802
GLYMA13G24490,15.42333333,94.15666667,2.609948649,Up,0.855386855
GLYMA13G36910,3.576666667,21.82333333,2.609183903,Up,0.821548822
GLYMA06G17680,10.7,65.27666667,2.608956592,Up,0.850899851
GLYMA01G44120,12.58666667,76.57,2.604882993,Up,0.852695353
GLYMA11G06790,2.426666667,14.76,2.604644867,Up,0.801185801
GLYMA14G24220,17.69666667,107.08,2.597139498,Up,0.856023856
GLYMA08G41450,3.213333333,19.27,2.584214021,Up,0.814881315
GLYMA19G22560,5.833333333,34.96666667,2.583587851,Up,0.837197337
GLYMA11G12720,19.28333333,115.21,2.578839582,Up,0.856009856
GLYMA02G37080,15.26666667,90.57666667,2.56875435,Up,0.847858348
GLYMA18G44970,6.953333333,41.25333333,2.568734039,Up,0.835209335
