GeneID,Means-CK,Means-DH_24,"log2Ratio (DH_24/CK)","Up-Down-Regulation (DH_24/CK)",Probability
GLYMA11G18640,1476.946667,288.6766667,-2.355091324,Down,0.85925029
GLYMA19G25314,12.53666667,54.64333333,2.123891687,Up,0.826808466
GLYMA17G06780,11.9,0.646666667,-4.201795517,Down,0.872942333
GLYMA13G05080,0.38,6.276666667,4.04592727,Up,0.812730336
GLYMA15G03930,8.396666667,43.87666667,2.385565306,Up,0.841816714
GLYMA13G11570,10.58666667,125.92,3.572187129,Up,0.911779158
GLYMA13G38531,6.336666667,0.39,-4.022178097,Down,0.813355095
GLYMA11G21580,153.6833333,30.22,-2.34638515,Down,0.854459303
GLYMA03G19920,40.25666667,6.61,-2.606505542,Down,0.854175003
GLYMA17G09240,1.69,15.62,3.208299302,Up,0.849591099
GLYMA15G04900,18.33666667,0.37,-5.631062321,Down,0.933105191
GLYMA15G07330,2.893333333,16.92333333,2.548209312,Up,0.815738303
GLYMA14G37440,0.343333333,13.28,5.273501405,Up,0.909276614
GLYMA01G30670,0.04,10.59666667,8.0493948,Up,0.9214208
GLYMA18G01720,5.663333333,141.8133333,4.646197925,Up,0.951788284
GLYMA17G04040,4.643333333,24.4,2.393648391,Up,0.82520796
GLYMA08G16310,16.8,104.5933333,2.638257761,Up,0.869428942
GLYMA12G32230,0.41,21.19666667,5.692069688,Up,0.940237268
GLYMA16G33130,0.07,33.11,8.885696373,Up,0.973879471
GLYMA15G25060,0.266666667,74.11666667,8.118616689,Up,0.987564494
GLYMA18G46033,29.25666667,5.533333333,-2.402544666,Down,0.831859184
GLYMA11G33450,36.83333333,144.14,1.968386882,Up,0.822698396
